review_body,stars_number,course_stage,user_name,last_update
Don't take it if you are unfamiliar with R and hoping to learn. You will not. It makes sense to learn programming in R by other means  first  then take the course to get the certificate.,4,Taking Now,Student,2 years  6 months ago
The course claims to be for beginners but assignments are way to difficult for that level and take an awful lot of time. Tasks in assignments are also unrelated to the video lectures. If you are a total beginner  I recommend starting with doing a full 15-lesson swirl assignment  then do all 4 weeks of lectures and quizzes  and then go the first programming assignment. Doing swirl first will save lots of time trying to figure out things by yourself  and watching all video lectures first is almost necessary  as I used a function in week1 assignment that was only introduced in week 3 lectures. Overall  the course helped me to get things started and forced me to sit long hours to learn but I definitely learnt more from Stack Overflow trying to solve assignment problems than from the course itself. It may be easier for people with previous programming experience but if you're a newbie be prepared to get frustrated.,6,Completed,Student,2 years  6 months ago
My first course that actually just focused on programming in R  as opposed to using R for statistical analysis. I have no education whatsoever in computer science/programming so needless to say that some of the concepts/homeworks were quite painful for me...however I felt that it was worth understanding because you come away with such a better idea of R's capabilities and usefulness  which are of course totally transferable to other courses that require R.,6,Completed,Student,2 years  9 months ago
I feel that i need to learn basic commands of R first. As I don't want to do wrong assessment for others. If there is any basic course of R for beginners is available  I will definitely join the course. i really feel sad to drop the course.,8,Dropped,Eric Cohen,2 years  9 months ago
The difference in what was taught in the video lectures and what was expected in the assignments was extremely unrealistic  and I think I am being extremely charitable here. There was just NO CONNECT. Yes  the practice assignment by Derek Franks was excellent. I would like to sugges that this course be increased to 8 weeks  with the difficulty levels of exercises ramped up gradually rather than as a step function  perhaps Dirac delta function would be a more apt description,6,Taking Now,Bernardo Freitas,2 years  9 months ago
-- Be warned --  This course is hard for anyone who has no concept of programs like Python or C.  I recommend you buy a book  go to YouTube or research the web before embarking on this course.  Although the Quizzes are covered in the lectures  the assignments are most definitely not!   There are few helpful hints where to find some material for few things  but this will not help solve the assignments!,2,Taking Now,Student,2 years  9 months ago
Absolutely horrible. Poor structure. Topics very badly explained. Very theoretical with terrible lack of hand-on practice and real life application. Quizzes and assignments poorly related to video lectures.,2,Taking Now,Student,2 years  9 months ago
Wow  that course was disapointing.  When I read the syllabus of all the courses within this specialization I got very excited about learning so many stats techniques.  Sadly  this course was awful !!   The instructions given for the assignments were very confusing. The instructor rushed to explain every single function and concept about R. in the end you end up not knowing when to actualy apply these functions.  I will finish the courses from this specialization  but only because I want to have a specialization degree from a credited university.   I want to point out that all the other MOOCs I have taken were very well designed and the teachers really commited to the students  this a huge exception.,2,Completed,Student,2 years  10 months ago
"Very easy to follow - great examples and straightfoward explanations. The ""joining"" tables lesson could have been a bit more detailed with more examples but otherwise great class. I would recommend",None,Completed,Marcel Scioville,3 years  6 months ago
A good resource for both beginner and intermediate level SQLite(s) . SQL is a very interesting  powerful yet easy to learn language and is a must to have in the world of computer and web development.,None,Completed,Abhay Sharma,3 years  6 months ago
good basic overview,None,Completed,Todd Burge,3 years  6 months ago
Great class as an intro to SQL. I am interning at a company as an analyst  though I'm studying Mechanical Engineering. Hence SQL is a vital software for me to use at work  but I didn't have the exposure to it in class. These tutorial videos helped a lot!,None,Completed,Zorbey Canturk,3 years  6 months ago
This innovative  challenging and rewarding course approaches a traditional  linear-algebra curriculum from a computational perspective. Students write  procedures implementing key mathematical concepts  and apply these to  interesting labs that have you changing the perspective of a photograph   dabbling in machine learning  and writing a simple search engine. The lectures  are well-organized and the written materials are superb. Note  however  that  this is not primarily a programming course -- the point of the programming is  to understand and apply the math  those looking for a Python introduction as  such might prefer other options. In fact  because solutions to the programming  assignments are not provided and code cannot be shared or posted  your coding  skills may not improve much. And if you’re new to Python  expect to turn  frequently to external tutorials and resources. Those with no prior exposure  to linear algebra may also find themselves playing catch-up given the fast  pace and abstract focus of the lectures. The course emphasizes proofs at the  expense of explained examples and illustrative applications – great for math  lovers but maybe not for linear algebra neophytes. Overall  while the  presentation moves at a brisk march and the workload is considerable  those  willing to devote the time will find the pieces fitting together into a unique  learning experience. The course as given was actually only the first 8 weeks  of the12-week course taught at Brown  and a mini-course covering the remaining  material is planned. Future versions will hopefully cover the entire  curriculum in a single session.,8,Completed,Steven Frank,2 years  6 months ago
outstanding course.  knew linear algebra before taking it  just wanted a refresher.  also knew python.  surprisingly the course was a great python refresher as well.  what really impressed was how professor klein showed the deep connection between abstract math and computer science.  also loved the integration of data structures with linear algebra.  highly recommended!,10,Completed,Student,1 year  9 months ago
Likes:  * Teaching math via programming is right up my alley. I hope to find more courses that do the same.  * Prof and staff were active in the forums.  * It seems that most of the grader problems reported during previous sessions have been sorted out. There were still a few outstanding issues  but staff was quick to either fix them or suggest a way around them.  * Lots of exercises    Dislikes:  * Videos. The prof stands in front of the PowerPoint and reads from the slides. I'm not typically one to skip the lectures and read the course notes  but I found there was little reason to watch the videos in the end.  * Provided Python modules. I often found them frustrating to work with. As an example  the vector and matrix classes include labels for their columns and rows. This adds extra overhead when creating and manipulating those objects – if you want to multiply a matrix M by a vector v  i.e. M*v  not only does vector v need to have the same number of rows as M does columns  as one would expect  but the labels of the rows of v have to match the labels of the columns of M. There never seemed to be any payoff for this added complexity.    Suggestions:  * I think there's a missed opportunity for visualisations. There are lots of compelling examples of linear algebra applications in 2-D and 3-D that could be rendered to the screen.  * Drop the column/row labels for matrices and vectors.,6,Completed,Peter Moldovia,2 years  10 months ago
Unlike the previous 14 reviews  this is about the second iteration of the class. From what I can tell  the professor has made a fair amount of changes addressing some of the complaints in the other reviews (and the 14 reviews averaged 4 stars  so the complaints aren't that major). As this is only my first week  I set the star ratings for content and instructor are set to average until I can better assess the course (and whether I need to look at any videos or not). I've taken python and linear algebra MOOCs before  which is good because this class takes a lot of time to do well in. I see that the professor has upped the time estimates from 4-5 hours/week in the first iteration of this MOOC to 7-10 hours per week for this one. Maybe 7-10 is OK if you want to get 60% on every single assignment (a requirement for a certificate)  but if you want to shoot higher  most people will need even more time. I'm only finishing up the first week of assignments  I've watched no lectures and I'm guessing I'm up to 15+ hours. I like that a community TA has set up a thread for each problem in the assignments. An even better improvement on that would be to also include a link on the assignments page to such a structure (e.g. the Pattern Discovery in Data Mining MOOC on Coursera has links on a weekly page which lists each video and a button linking to a subforum for that video). If you want to be able to get a certificate while missing or not completing most of some assignments  you are out of luck. I've never seen that in a MOOC before. Since I want to do very well in this course  I'm biting the bullet and spending a lot more time than I had planned  to do this. I think for MOOCs which are taken mostly by people who are non-full time college students  the professor should split this up into multiple MOOCs so he can lengthen the course time and reduce the weekly work load.,6,Taking Now,Jeff Winchell,2 years  11 months ago
Great class. I would suggest already possessing a strong background in python programming before beginning. I think the instructor did a good job presenting the material. The homework was challenging but fun.,10,Completed,Robert Davis,3 years  8 months ago
Again I took this course as a refresher  so I completed this course with distinction simply because I've ever taken the same class when in university  and this class uses Python in which I'm very familiar with it. Very good course.,10,Completed,soesilo wijono,4 years  1 month ago
A remarkable course! Phil Klein is an amazingly talented teacher and his practical approach of linear algebra through Computer Science  from cryptography to computer vision is both original and highly effective.,10,Completed,Flavio de Arruda,4 years  3 months ago
This course is a pretty good attempt at combining Maths theory with practical programming - I learned a lot about Python comprehensions  and a fair bit about Linear Algebra. It gives a background on the maths and appears to finish where the Machine Learning course begins - though I felt I could apply the learning from ML theory a lot easier than from this course. PROS \- great boot camp which forces you to really write correct Python code \- learning the Maths theory and applying it in code each week \- grader allows multiple attempts with no obvious time limits (necessary though) \- active forums \- fun secondary (still mandatory) assignments - I loved the one on changing the perspective of a photo CONS \- Overly picky autograder  often rejects correct Python code because it needs to be written in a certain way (possibly because they force you to use comprehensions in a certain way) \- lots of homework: 2-3 short programming assignments every week \- lectures could use some more comments around applications of the theory being used  rather than just the maths theory followed by occasional code. The secondary weekly assignments should have been referred to frequently in the videos  to reinforce why this particular bit was useful Overall  I am glad I did this course - it was very challenging and time consuming but well worth the effort.,8,Completed,Duncan Murray,4 years  5 months ago
"This is a course with a lot of potential  which unfortunately it completely fails to live up to. Video lecture quality is mediocre at best. The instructor lectures in front of a large screen  and frequently will be standing in front of the notes on the screen. The lectures themselves are very dry  abstract  and ""mathy""  which is to be expected for the subject  so I'm not counting this against the class. The homework load is heavy  which would be okay if the instructions were always clear and unambiguous  which they are not. For example  a two-part homework problem would require that you assign values to two python variables  but the variables would not be named in the instructions  so you had to guess which variable should hold which answer. The autograder has a number of problems. Feedback from the autograder was generally unhelpful. For example  there was a four-part problem where the autograder would only respond ""Incorrect""  without telling you which parts of the problem were wrong. In another case  the autograder would accept an answer of the form ""a + b""  but not of the equivalent form ""b + a"". Ambiguities in the homework and problems with the autograder are the sort of thing I expect might get ironed out if the class is offered again. Course staff does not seem to be actively monitoring the forums  and a blanket prohibition on posting code to the forums makes it very difficult for students to help each other. But the absolutely unforgivable sin  the one which prompts the low rating I have given  is that the instructor will not be posting sample solutions to the assignments after the deadlines have passed. If you can't figure out a problem on your own  you are completely out of luck. The way you learn to write better code is by looking at other peoples code  and this class does not allow you to do this at all.",4,Dropped,Brock Sides,4 years  5 months ago
I did have some background with basics of Linear Algebra. The promised computer science applications of this course is what I signed up for. Also  I had just started learning Python  so the fact that Python was the language for this course was an added bonus. In a nutshell  the course did deliver on that promise  but failed on almost all other aspects of the course. Pros: \- Rigorous  non-trivial assignments. Makes you think about foundational first- principles of linear algebra. \- It shows the power to Python as especially suited for numerical applications. I am really glad that this course used Python instead of something like Matlab/Octave. \- Good call on splitting the course into two parts. The advanced follow-up course will be offered sometime in the future. I think this was a very good call. Otherwise the fraction of people dropping out of this course would have been much higher. Cons: \- Grader. Oh  the grader. Absolutely ruthless grader. A course which is supposed to take 4-5 hours a week ends up taking 7-10 hrs because you are trying to debug some really mundane grader related issues. In the process  you're learning neither Linear Algebra nor Python. Also  the fact that feedback given when you submit an incorrect answer are absolutely useless. I expect a CS course to be a little more foolproof. However  I think this issue won't be as bad in the next versions of the course. \- Prof. Klein  though very enthusiastic and knowledgeable about the course material  is just reading off of the slides most of the time. In fact  I ended up reading the proofs of the lemmas myself directly off of the slides to save time. \- The programming knowledge required to complete the course if ill-advised. Beginner programmers will find it hard to cope with the rigour of the course. So  beware! All in all  I am happy with the course  but I wish I had signed up for the second offering of the course instead of the debut offering. Would have saved me a considerable amount of time.,7,Completed,Karthik Puthraya,4 years  5 months ago
"Prior Experience: Took several linear algebra courses at university and have python programming experience If it is a pure Linear Algebra course  I would not enroll into it in the first place. I am curious to find out how matrices and vectors can be applied to computer science problems. Like: 1) Interesting Labs - Real application of matrix and vector calculation to Computer Science problems. Use dot product to find out if politicians cast same or different votes to a legislative bill. Use matrices to scale  translate  rotate and color scale an image. Instructor even provides python code to display the image in web browser to see the effect. 2) The discussion forum is very engaging. Tons of positive comments from staff and fellow colleagues. When I get stuck  I always find good advice in existing posts. Dislike: 1) Brutal autograder - If solution does not yield the expected result  autograder returns a generic yet unhelpful message  ""Sorry  incorrect!"". I would expect an informative response from a program written by a Computer Science professor. I never imagine to put Mathematics and Computer Science in the same sentence. Thanks professor and TA for making linear algebra relevant in Computer Science.",8,Completed,Connie,4 years  5 months ago
"I took a linear algebra class in college (a decade ago.) We didn't cover much in the course so I didn't get much out of. As I like programming  this seemed like a good opportunity to actually learn Linear Algebra. And it was. I know a lot more now than when I finished the course in college. I bought the class book so I can read the 4 weeks of material that weren't covered in class. (The book is very similar to the lecture so you don't really need it.) Every week  there were homeworks and labs. The labs were applications of the concepts. Week 1 was a lot of python questions. I think it was used as a combination review and weeder week. Because you really do need to be very comfortable in Python to handle the rest of the course. People were helpful in the forums when you got stuck and they were well moderated. The TAs were knowledgeable and monitored the forums as well. This was the first session of the class so us students also served the purpose of being beta testers for the autograder than analyzes your homeworks/labs for the class and the professor's website. It could stand for some improvement. I also felt like the assignments could have used more detail of the output format and examples. I wound up writing pyunit tests for myself to test and sharing them in the forums. I liked the professor's philosophy of ""don't worry if you gets stuck on a question  you'll still pass.' Unfortunately as a computer programmer  I program I can't write is like a puzzle calling out to me. I went back to them until I got them all. Overall  it was a good class though.",8,Completed,Jeanne Boyarsky,4 years  5 months ago
This course was criticized in the forums for the amount of assignment work. I found the time taken on assignments varied from 10 minutes per week to 8 hours per week! If you saw the clever solution it was often one or two lines of code  if not then you could be stuck for an hour. All the puzzles were solvable  and none were that tricky (once you'd spotted your silly mistake!). If you enjoy puzzles and challenge that you've no idea how to solve (especially if you've had no exposure to Python before) then you'll like this. Sometimes the maths will be clear  but expressing it in Python will frustrate - other times it'll be maths that needs decoding. I loved this course. Completing it felt like an accomplishment.,10,Completed,AJT P,4 years  5 months ago
What you will get out of this course some knowledge of python list comprehensions An understanding of the basics of linear algebra A vague idea how to apply linear algebra to real problems Good problem solving skills Why you might not want to take it: if you just want to learn linear algebra if you just want to learn programming Summary: This class isn’t designed to purely linear algebra as roughly half your time will be spent writing code and trying to understand what problem is asking for. The fickle grader forces you to think about the problem the way it wants. Which may result less in expanding your mind and more frustration. If your goal is just linear algebra then a good text on the subject or Gilber Strangs MIT class is will serve you better. That being said this perspective is unique and is a amazing complement to a tradtional class. Final Verdict: I would take this class but prepare by running through Learn python the hard way. Before. I have a hunch future updated versions of this class will be Amazing and lack the grader complications that sometimes dragged down this run through.,7,Completed,Drew Verlee,3 years  11 months ago
This has been my first coursera course so I can compare with others but I can only say that it has exceded my expectations a lot. The course it's not easy and requires a lot of work  however  since the topic is compelling and the professor explains very well  I feel it has been time very well expensed.,10,Completed,Santi,4 years  5 months ago
I started my Mooc adventure with Andrew Ng's ground breaking  wonderful Machine Learning class and now pause after Philip Klein's equally ground breaking  equally wonderful course on coding up linear algebra. I say pause as I imagine I will be returning to Moocs in the future as the need and opportunity arise. Using code to teach mathematics is a brilliant way to bring a traditionally dry subject to life. I think this approach will prove invaluable in both high school and university mathematics in the future. A big challenge for educators is to get more people to code so that this new approach to learning is open to them. And so on to my new role as a computer science teacher......wish me luck!,10,Completed,Gavin Conran,4 years  5 months ago
Very boring course. Some weeks contains lot of tasks (60+) - easy but amount is too large. Lots of bags in graders.,3,Completed,Sergey Tihon,4 years  5 months ago
Pattern discovery in data mining is the first course in a new 5-part data mining specialization offered by the University of Illinois at Urbana- Champaign through Coursera. Keeping with the trend of other specialization courses  pattern discovery in data mining spans 4 weeks and will likely be offered again each month or two after the first offering. The course covers a range of methods for finding different types of patterns in data  such as association rules and patterns in graphs. Grading is based exclusively on 4 weekly quizzes. I was excited to see the new data mining specialization come up on Coursera to kick off 2015  but unfortunately  pattern discovery in data mining is a dull  poorly executed information dump. Besides an interesting topic  there’s not much going for this course. In the lectures  the professor reads information off dense slides and his delivery is more confusing than instructive. The slides  video and sound are of decent quality  but the explanations are not clear and while I normally don't have an issue with foreign accents  the professor's English made things harder to understand. To make things worse  there are few instructive in lecture quizzes and no activities or programming assignments. A course about data mining should have programming assignments or activities that let students interact with the concepts to reinforce learning. Pattern discovery in data mining is a disappointing start to the data mining specialization  that suffers from poor instruction quality and lack of illustrative assignments. Taking this course is like a data mining problem in and of itself: you have to spend a lot of time deciphering the lectures to uncover useful information.,3,Completed,Greg Hamel,2 years  11 months ago
I liked the way I was able to learn more about the newest trends in pattern discovery  but  as with other courses  there was too much theory  and too little practice. However  it was a fun experience  but I hope in the second iteration that the ratio of the programming assignments and the theoretical descriptions of various algorithms and papers will be equal.,6,Completed,Kristina Šekrst,1 year  5 months ago
This course has some nice content but the presentation is very boring. The instructor does take a good time and effort to provide examples of the principal topics and algorithms. By taking this course you will learn several interesting things in a good degree of depth. A good course considering it takes just 4 weeks.,6,Completed,Richard Taylor,2 years  7 months ago
Just awesome! The course is mainly theorical  and have very dense parts  but what I've learned is just magnific  highly recomended. (The only thing that could be better was that could be some programming assignements helps a lot to improve the learning skills),10,Taking Now,Miguel Asencio,2 years  11 months ago
As a creator of some of the techniques explained in this course  the instructor clearly has deep knowledge about the material he presents. However  he is not a teaching specialist  so learning the material is somewhat of a challenge (somewhat more so for those unfamiliar with east Asian accented English.) For those having problems learning solely by the videos provided  I recommend reading the free chapters from his book  which the course is based on. It is good that the instructor has setup forum subforums  such that there is a subforum for each video in the class. I wish there was programming in the class as I find that often helps me to better learn the material. The material is somewhat abstract so you have to concentrate more in this MOOC.,8,Taking Now,Jeff Winchell,2 years  11 months ago
Videos and quizzes were very good. Quizzes were somewhat easy. As you could  take them few times  i maxed them all without much thinking.    I obtained a lot of useful materials ansd sample codes  started using git in  everyday work  so it had positive influence on my life.    But the course lacks some more ambitious project to engage listener little bit  more  in my opinion.,8,Completed,kr strug,2 years ago
The videos are very nice  and the professor is very good at explaining things in context. I really liked the introduction on version control  and the explanation of parallel computing was very well done and not rushed through. Too bad for the programming assignment  which had no evalutation at all  and were not even on coursera  but on the external course website. The lack of any form of evalutation and of a certificate discouraged efforts on that side  so I feel like I learned the theory but I would not be able to parallelize a real code. I hope they will put an autograder or a peer assestment in the next offerings of the course  but I fear that they will just keep repeting everything without any change and without any interaction with the students,6,Completed,Mizar83 .,4 years  5 months ago
The lecturer hypnotized me in every video.   The content is hard to follow and out of context at times. Too much reading out theory and no application.  I will complete it nonetheless since I have paid for it.   Money aside  I would have spent my time more productively had I taken Standard's NLP course. Which I will definitely do so to start building my skill in this area.,4,Taking Now,Student,1 year  2 months ago
I liked the way I could find out about newest algorithms and trends  but I'd like for the ratio of theory and practice to be at least equal  since it's too much focused on the overview of everything there is. I've learned new concepts  but more R/Py examples could help.,8,Completed,Kristina Šekrst,2 years  4 months ago
Text Mining and Analytics is the fourth course in the Data Mining specialization offered by the University of Illinois at Urbana-Champagne through Coursera. Text Mining builds upon the second course in the specialization  Text Retrieval and Search Engines. Course topics include mining word relations  topic discovery  text clustering  text categorization and sentiment analysis. The course lists programming proficiency (especially in C++) and knowledge of probability and statistics. Keeping with the system established by other data mining specialization track courses  grading is based entirely upon 4 multiple choice quizzes with 10 questions apiece. You only get one attempt at the quizzes.      Text Mining and Analytics is information-packed. Each week has 2.5 to 4 hours of lecture content in video segments that generally range from 10 to 20 minutes. The videos quality is satisfactory but the explanations and content on the slides could be a bit clearer. Despite the long videos  there are no comprehension questions or exercises to interact with during or after lecture segments to reinforce learning. By the time you reach the quiz at the end of the unit  you may find yourself having to go back review certain videos to answer the questions. There is an optional programming assignment.      Text Mining and Analytics covers many useful data mining topics  but it has too much lackluster video content for its own good. I can’t help but feel like a better course would have been able to condense the videos down to cover the same topics more clearly in half the time  leaving room for more quizzes and exercises. This course could serve as useful as reference material but students watching straight through may find a lot of information going in one ear and out the other.      I give Text Mining and Analytics 2.5 out of 5 stars: Mediocre.,4,Completed,Greg Hamel,2 years  6 months ago
This course was a major disappointment for me. Everything was bad: content  presentation  evaluation  programming assignments. You name it.    I will start with the content of the course. Text Mining is a very exciting area of computer science getting a lot of attention these days  for some reason the algorithms and ideas that are being used today and are the state of the art weren't covered in this course. There's nothing about things such as deep learning  wordvec  glove  recurrent neural networks or LSTM that are the most important tools used today for natural language processing. So I think the content is outdated and I felt I was getting a review of things the instructor likes instead of things really used in the field.    Next the presentation: really terrible. The instructor dances around formulas and papers without a single working example to check how things work or any attempt to simplify the topics or explain the most important concepts  just references to papers and reading out loud formulas.     The evaluation is also problematic you have only 1 chance at each quiz so effectively you have four exams. This wouldn't be a problem if the lectures contained anything remotely similar to what the quizzes ask. If you are going to give students one attempt at each quiz you need to at least do some examples of excercises in your lectures.    The programming assignment was the cherry on the cake  confusing  badly prepared and didn't make any sense. The META system used is really terrible to work with and is a tool that as far as I know is not used at all in the real world. There are plenty of interesting things and tools to use in this area but for some reason META was chosen. I think that was a very bad choice.    At the end I completed all quizzes and passsed the course and felt I learned almost nothing and the very few things I remember about the lectures are things that I know won't be useful in the real world.    I would have given it 0 stars but I have no such an option.,2,Completed,Richard Taylor,2 years  7 months ago
I was very happy when I heard about the course because it was my first MOOC in text-mining.     The course contents are too vague and the instructor is not suitable for teaching. His voice is monotonous and boring and he is very difficult to follow. The course lacks context and appetite wetting and you don't know what are you going to do with these algorithms. You as a student cannot see the big picture.The programming assignment was fun but did not help learning the course contents.    I will complete the course just because the topic of this course is very important and it is difficult to learn this topic from books  either. A video-based MOOC is anyhow better than studying this subject from books.,6,Completed,Hamideh Iraj,2 years  7 months ago
This course is the first in Data Analysis and Interpretation Specialization on coursera. The specialization is really promising .The instructors did a great job of designing nice engaging courses.They carefully alleviated the problems of existing courses. Instead of PowerPoint  they used films to teach subjects. Instead of one voice  you hear the voice of different people. The use of Anaconda allows the student to get rid of installation and package management troubles at the very beginning. Instead of uploading your code and document  you post assignments on your blog. This minimizes the trouble of uploading and technical issues. In addition  you can show your posts to other people later. Last but not least  there are no quizzes to take up your time. You do four short assignments and it is done.   In a nutshell  this is a carefully designed specialization. Highly recommended.,8,Completed,Hamideh Iraj,1 year  11 months ago
Really an introductory course for anyone who wants to understand Big Data. Well designed for a layman,10,Completed,B Mohan Kumar,3 years  9 months ago
My introduction to BigData. It was pleasant. Mostly basic definitions with great real-life examples to partner it. The best part of the course is the 'further study/reading' provided for a better grasp of the whatever is presented every module. This is a REAL introduction. I guess it is targeted at high school students to let them get a taste and maybe they'll pursue the career related to it. These track options are provided by the platform.,7,Completed,Justine Ivan,4 years  4 months ago
I will start with the cons then get to the pros: This lectures are rough  even painful at times. It often seemed that Dr. Howe put minimal effort into preparing the videos  he regularly caught errors in his slides and often seemed as though he was thinking about what to say for the first time. He frequently attempted to cover too much in a hurry. I especially found the lectures on NoSQL  statistics  and machine learning difficult to follow (despite a background in statistics and machine learning). Also  if you only do the required assignments  the workload is very unbalanced. The first assignment is very challenging and time consuming. The second is easier. And the rest of the assignments require little time commitment. Now this can be okay  because there were optional assignments you could use to fill in this extra time. Pros: The class does expose you to the main topics of data science. You definitely do not come out an expert in these topics. But you at least gain familiarity with them. The assignments were pretty much all valuable  the most so probably being the Kaggle assigment. Kaggle is where many a data scientist honed their chops. This class gets you started competing in Kaggle competitions. If you really want to learn how to do data science at home  spend time competing at Kaggle. The forums are great. I personally benefited enormously by two threads  one by the President of Kaggle and another by a Kaggle champion  in which they answered any data science questions the students had for them. Very knowledgeable and willing to help. Thank you to them. Overall: If you are interested in data science  take the course. Despite its shortcomings  you will find value in it. Additionally  you got the sense that one of the main reasons for the issues of the course was that it was rushed to get out. I imagine in future iterations  these wrinkles will begin to get ironed out. Don't expect to become an expert in data science from this course  but do expect to have a better feel for what the field of data science is  and some direction as you embark on becoming a data science expert.,8,Completed,Esteban Afonso,4 years  7 months ago
Excellent. So far the best course in data science in MOOCs. Prof. Bill Howe has a great knowledge of his subject and communicates very nicely. It is a course that will clear your basics and make a strong foundation for data science.,10,Taking Now,Student,1 year  3 months ago
"I am currently thinking of dropping this course and be happy with the money lost in enrolling   The course on ""communicating data science results"" has a good week 1  but ...  In order to complete week 1 assignment you need to already know Tableau or similar and currently there are not enough people enrolled to get scored and score  so will never pass  Week 2 and 3 teacher sound not very interested and was just reading the slide  no effort to make it sound interesting.  To add injury to the insult the last assignment apper to me to have out of dates instruction making impossible to complete if you do not have previous knowledge of teh cloude computing tool used and know how to twick the instruction.  A little disappointed as had previous courses with Coursera and were excellent  but this one to me sound like a complete waste of time and money.",2,Taking Now,Student,1 year  5 months ago
This feels like taking a live class without the ability to ask questions during the lecture.  The course does not coddle you and hold your hand through ever hurdle you'll encounter and it shouldn't.  If you want a breezy course you can put a half effort in  just read some articles.,8,Completed,Oberst Waschbär,1 year  5 months ago
This feels like taking a live class without the ability to ask questions during the lecture.  The course does not coddle you and hold your hand through ever hurdle you'll encounter and it shouldn't.  If you want a breezy course you can put a half effort in  just read some articles.,10,Taking Now,Student,2 years ago
This was my first Coursera course  so I'm a bit nostalgic and emotional about it. However  I did enjoy it quite a lot. It was a nice blend of theoretical models and practice  but it should say that it requires previous experience in Python and SQL  otherwise it could be tough for a beginner. The Tableau visualization was fun  but other assignments could be improved by adding tutorials and more time to grasp these concepts. Kaggle competition was a huge deal  and it should stay mandatory. I'd recommend this course if you want a nice introduction as a programmer. Even though people disliked the teaching style  I was quite fond of the humor.,8,Completed,Kristina Šekrst,2 years  4 months ago
Terrible class and poorly advertised. Would give 0 stars if I could. And don't trust the refund policy. Watch the first video and take the practice  apparently you get a certificate and no refunds allowed after that.  Disappointing since the other classes from the same university partnerships were excellent.,2,Dropped,Student,2 years  4 months ago
,2,Taking Now,Luis Eduardo Salcedo Kosma,3 years ago
,7,Completed,Kristina Šekrst,3 years  1 month ago
The breadth of topics covered was impressive  and I liked how some of the assessments were optional  otherwise it would have been too demanding within the timescale. Basically after completing the bare minimum  the more time you put into it the more you get out of the course and you can pick and choose some of the topics to look into further. The pre-requisites should have been explained in greater detail  as I was missing some of the statistics knowledge that was assumed by the instructor in some videos. I particularly liked the assignment where you participated in a Kaggle competition  it gave the course a more 'real world' feel.,8,Completed,David Asboth,3 years  1 month ago
,10,Completed,Paulo Almeida,3 years  2 months ago
"This class should be called: ""Introduction to my disorganized world of Data Science and the hidden grading system"" This instructor should be ashamed of himself. It is one thing to have a lot of mistakes in the first iteration of a course (assuming he has never taught this before  outside of a MOOC). But I'm taking this course the second time and there are still major mistakes in it. Although the professor is from a world class university in Seattle  a city with the highest reputation for customer service anywhere  this professor shows disdain for customer service. Poor descriptions that make an assignment IMPOSSIBLE to fulfill are corrected by a TA  buried in some thread  but NEVER corrected in the assignment description  even after a week. Other missing information stays missing for months. The ""real world"" assignment was using this ""not ready for primetime"" website Coursolv which mostly seemed to be projects looking for people to do grunt work (nothing remotely resembling data science) for free. The big data assignment (using TB size data) seemed to require that you like Linux in order to figure out how to do it. They even warned you that you may not get through the setup/installation if you use Windows. What arrogance. 90% of the world is using Windows  even if this professor apparently dislikes it. The peer review assignments gave no indication (or gave contrary indications) on what rules people would use to assess you  so you could waste your time doing things that actually took points away from you. I got a 56% on one peer assessment  which is FAR lower than any peer assessment I've ever had in the 50+ MOOCs I've taken. The only 2 things I got out of this MOOC was realizing what I've been doing for decades was called ""data science"" (so I have a title ""upgrade"") and by having a mandatory assignment using kaggle.com I finally got myself to try out kaggles (which are cool  but you don't need this MOOC to find out... just go there and try them). If you can find another way to learn this material  do so. If you are a true hacker and like trying to solve the unsolvable  there will likely be good students to learn from. Much better experience than trying to learn from this instructor who cares far less about teaching than many of the students do.",1,Completed,Jeff Winchell,3 years ago
Introduction to Data Science is misleading title for this course because it is not introductory level and it does not have a sensible flow that builds from one week to the next as you would expect from an intro course. Instead  the course acts as more of a data science sampler that introduces new topics each week that often have little to do with material covered in previous weeks. Lecture topics include relational databases  relational algebra  SQL  MapReduce  No SQL  miscellaneous topics in statistics  machine learning  visualization and graph analytics. If that sounds like a disjointed smorgasbord of topics  it is. To make matters even more complicated  the programming assignments use three different languages: Python  R and SQL. This course is best suited for those who have some exposure to Python  R  SQL and statistics.         If you have the appropriate background knowledge  this course touches on many interesting topics and while the lecturer's delivery is not great  he is quite knowledgeable and the material usually isn't too hard to grasp. Although the homework assignments require different languages and may take you a while to complete  they are rewarding. For instance  you'll work with real Twitter data you capture from the net  implement MapReduce operations in Python and participate in a machine learning competition on Kaggle.com.         Introduction to data science is likely to be frustrating to those expecting a general intro to data science. The course jumps around too much and uses too many different tools to be a good first course in data science  but the breadth of topics covered and programming assignments make this course worth a look if you already have some exposure to data science or the tools the course uses. If nothing else  you can skip through the lectures and watch sections that are of particular interest to you.,6,Completed,Greg Hamel,3 years  5 months ago
